Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Kwashiorkor	Kwashiorkor	Kwashiorkor	Kwashiorkor	Kwashiorkor	Marasmus	Marasmus	Marasmus	Marasmus	Marasmus	Non-malnourished	Non-malnourished	Non-malnourished	Non-malnourished	Non-malnourished
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	128.0	551.0	1053.0	2309.0	20495.0	1.0	109.0	1478.0	2027.0	5268.0	11.0	83.75	374.5	1077.5	4298.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	1.0	8.5	33.0	242.0	681.0	1.0	1.0	1.0	5.0	490.0	1.0	1.0	32.0	98.0	271.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	1.0	1.0	1.0	1.0	53.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	1.0	1.0	1.0	1.0	80.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Pseudoalteromonadaceae	1.0	1.0	1.0	1.0	72.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__SR1;c__;o__;f__	1.0	1.0	1.0	1.0	18.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Spirochaetes;c__[Brachyspirae];o__[Brachyspirales];f__Brachyspiraceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	228.0	1.0	1.0	1.0	28.25	92.0
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__TM7;c__TM7-3;o__;f__	1.0	1.0	1.0	9.0	58.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	56.0
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__	1.0	1.0	1.0	1.0	62.0	1.0	1.0	1.0	1.0	14.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	22.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	118.0	1.0	1.0	1.0	1.0	50.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__	1.0	1.0	1.0	1.0	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	44.0
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	1.0	1.0	1.0	1.0	37.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0
